campus_name,campus_location,rating,students,community_type,community_size
University of Toledo,"Toledo, OH",4,23000,medium city,266301
Bates College,"Lewiston, ME",3.5,1800,small city,38493
Missouri Science & Technology,"Rolla, MO",3,9000,small town,20322
Forsyth Technical Community College,"Winston-Salem, NC",4,2890,medium city,251350
Woodbury University,"Burbank, CA",3,1132,medium city,103920
University of Texas Arlington,"Arlington, TX",5,47000,medium city,394602
University of Arkansas at Little Rock,"Little Rock, AR",2.5,6712,medium city,202864
Linfield University,"McMinnville, OR",3,1750,small city,34530
Bluegrass Community & Technical College (BCTC),"Lexington, KY",4,14500,medium city,320347
Hartwick College,"Oneonta, NY",3.5,1100,small town,
